,EVSE ID,energia_totale_kwh,ricavi_totali,costo_stimato,indirizzo_stazione
359,IT*F2X*EF2XITLINP01*1,3992.4,2714.87,998.1,Viale dell'Aviazione
360,IT*F2X*EF2XITLINP01*2,1799.055,1223.39,449.76375,Viale dell'Aviazione
361,IT*F2X*EF2XITLINP51*1,1424.305,640.9,356.07625,Viale dell'Aviazione
362,IT*F2X*EF2XITLINP51*2,1101.419,495.67,275.35475,Viale dell'Aviazione
363,IT*F2X*EF2XITM1001*1,10214.932,6946.19,2553.733,A13 Bologna - Padova
364,IT*F2X*EF2XITM1001*2,16059.115,10920.17,4014.77875,A13 Bologna - Padova
365,IT*F2X*EF2XITM1002*1,22217.616,15107.85,5554.404,A13 Bologna - Padova
366,IT*F2X*EF2XITM1002*2,7279.409,4949.97,1819.85225,A13 Bologna - Padova
367,IT*F2X*EF2XITM1051*1,846.913,465.76,211.72825,A13 Bologna - Padova
368,IT*F2X*EF2XITM1051*2,503.979,277.18,125.99475,A13 Bologna - Padova
369,IT*F2X*EF2XITM1051*3,565.402,254.42000000000002,141.3505,A13 Bologna - Padova
370,IT*F2X*EF2XITM1101*1,21423.886,14536.79,5355.9715,A13 Bologna - Padova
371,IT*F2X*EF2XITM1101*2,7834.43,5327.36,1958.6075,A13 Bologna - Padova
372,IT*F2X*EF2XITM1102*1,11472.328,7801.11,2868.082,A13 Bologna - Padova
373,IT*F2X*EF2XITM1102*2,15454.284,10508.83,3863.571,A13 Bologna - Padova
374,IT*F2X*EF2XITM1151*1,724.025,398.22,181.00625,A13 Bologna - Padova
375,IT*F2X*EF2XITM1151*2,399.321,218.66,99.83025,A13 Bologna - Padova
376,IT*F2X*EF2XITM1151*3,275.373,123.92999999999999,68.84325,A13 Bologna - Padova
377,IT*F2X*EF2XITM2001*1,32457.872,22033.32,8114.468,A13 Bologna - Padova
378,IT*F2X*EF2XITM2001*2,18013.944,12249.42,4503.486,A13 Bologna - Padova
379,IT*F2X*EF2XITM2002*1,23809.432,16158.22,5952.358,A13 Bologna - Padova
380,IT*F2X*EF2XITM2002*2,22991.314,15615.46,5747.8285,A13 Bologna - Padova
381,IT*F2X*EF2XITM2051*1,2679.1,1473.52,669.775,A13 Bologna - Padova
382,IT*F2X*EF2XITM2051*2,538.249,295.3,134.56225,A13 Bologna - Padova
383,IT*F2X*EF2XITM2051*3,864.04,388.58,216.01,A13 Bologna - Padova
384,IT*F2X*EF2XITM2101*1,23861.212,16225.59,5965.303,A13 Bologna - Padova
385,IT*F2X*EF2XITM2101*2,16341.888,11083.4,4085.472,A13 Bologna - Padova
386,IT*F2X*EF2XITM2102*1,15102.766,10269.54,3775.6915,A13 Bologna - Padova
387,IT*F2X*EF2XITM2102*2,10158.083,6907.53,2539.52075,A13 Bologna - Padova
388,IT*F2X*EF2XITM2151*1,1491.9279999999999,820.55,372.98199999999997,A13 Bologna - Padova
389,IT*F2X*EF2XITM2151*2,385.49,207.9,96.3725,A13 Bologna - Padova
390,IT*F2X*EF2XITM2151*3,565.372,254.4,141.343,A13 Bologna - Padova
391,IT*F2X*EF2XITM3001*1,3568.94,2426.9,892.235,"A13, Bologna - Padova"
392,IT*F2X*EF2XITM3001*2,3367.024,2289.56,841.756,"A13, Bologna - Padova"
393,IT*F2X*EF2XITM3002*1,3036.878,2065.13,759.2195,"A13, Bologna - Padova"
394,IT*F2X*EF2XITM3002*2,1884.161,1281.23,471.04025,"A13, Bologna - Padova"
395,IT*F2X*EF2XITM3051*1,109.166,60.04,27.2915,"A13, Bologna - Padova"
396,IT*F2X*EF2XITM3051*2,64.29899999999999,35.36,16.074749999999998,"A13, Bologna - Padova"
397,IT*F2X*EF2XITM3051*3,30.619,13.78,7.65475,"A13, Bologna - Padova"
398,IT*F2X*EF2XITM3101*1,19872.831,13513.47,4968.20775,"A13, Bologna - Padova"
399,IT*F2X*EF2XITM3101*2,13929.966,9472.36,3482.4915,"A13, Bologna - Padova"
400,IT*F2X*EF2XITM3102*1,7921.372,5386.59,1980.343,"A13, Bologna - Padova"
401,IT*F2X*EF2XITM3102*2,7907.073,5376.75,1976.76825,"A13, Bologna - Padova"
402,IT*F2X*EF2XITM3151*1,1635.885,899.74,408.97125,"A13, Bologna - Padova"
403,IT*F2X*EF2XITM3151*2,197.674,99.94,49.4185,"A13, Bologna - Padova"
404,IT*F2X*EF2XITM3151*3,297.693,133.95,74.42325,"A13, Bologna - Padova"
405,IT*F2X*EF2XITMPXP01*1,1154.225,784.89,288.55625,Aeroporto Milano Malpensa PRIME
406,IT*F2X*EF2XITMPXP01*2,701.6279999999999,477.11,175.40699999999998,Aeroporto Milano Malpensa PRIME
407,IT*F2X*EF2XITMPXP51*1,12.454,5.61,3.1135,Aeroporto Milano Malpensa PRIME
408,IT*F2X*EF2XITMPXP51*2,61.120000000000005,27.489999999999995,15.280000000000001,Aeroporto Milano Malpensa PRIME
409,IT*F2X*EF2XITMXPC01*1,14312.377,9726.43,3578.09425,Malpensa Aeroporto
410,IT*F2X*EF2XITMXPC01*2,29451.062,20009.16,7362.7655,Malpensa Aeroporto
411,IT*F2X*EF2XITMXPC02*1,18880.475,12833.48,4720.11875,Malpensa Aeroporto
412,IT*F2X*EF2XITMXPC02*2,33898.548,23048.1,8474.637,Malpensa Aeroporto
413,IT*F2X*EF2XITMXPC03*1,21178.5,14398.74,5294.625,Malpensa Aeroporto
414,IT*F2X*EF2XITMXPC03*2,27122.278,18441.08,6780.5695,Malpensa Aeroporto
415,IT*F2X*EF2XITMXPC51*1,2119.633,1162.85,529.90825,Malpensa Aeroporto
