EVSE ID,indirizzo_stazione,energia_erogata_kwh,ricavi_totali,costo_stimato,Numero_di_sessioni,within_1km_x,Plug Type,index,connector_evse_id,station_address,station_coordinates_lat,station_coordinates_lon,connector_isSuspended,latitude,longitude,restaurant,fuel,parking,atm,bank,hospital,pub,fast_food,townhall,nightclub,car_wash,conference_centre,payment_terminal,training,school,bus_station,pharmacy,supermarket,post_office,within_1km_y
IT*F2X*EF2XITA3101,Autostrada del Sole,83108.328,56513.380397607434,20777.082,2414.0,,,4940.0,IT*F2X*EF2XITA3101,Autostrada del Sole,44.661571,10.854928,0.0,44.661571,10.854928,5.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA3102,Autostrada del Sole,103911.263,70658.79147441432,25977.81575,3099.0,,,4944.0,IT*F2X*EF2XITA3102,Autostrada del Sole,44.661615,10.854808,0.0,44.661615,10.854808,5.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,1245.0,IT*F2X*EF2XITA3501,A1 - Autostrada del Sole,44.456656,11.280327,0.0,44.456656,11.280327,6.0,3.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no
,,,,,,,,1251.0,IT*F2X*EF2XITA3502,A1 - Autostrada del Sole,44.4566,11.280372,0.0,44.4566,11.280372,6.0,3.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,no
,,,,,,,,3424.0,IT*F2X*EF2XITA3551,A1 - Autostrada del Sole,44.456704,11.2803,0.0,44.456704,11.2803,6.0,3.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no
IT*F2X*EF2XITA3601,A1 - Autostrada del Sole,23702.066,16117.025694630267,5925.5165,665.0,,,4837.0,IT*F2X*EF2XITA3601,A1 - Autostrada del Sole,44.456131,11.279496,0.0,44.456131,11.279496,6.0,3.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,no
IT*F2X*EF2XITA3602,A1 - Autostrada del Sole,22069.051,15006.605634871952,5517.26275,661.0,,,4843.0,IT*F2X*EF2XITA3602,A1 - Autostrada del Sole,44.456098,11.279547,0.0,44.456098,11.279547,6.0,3.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,no
IT*F2X*EF2XITA3651,A1 - Autostrada del Sole,1493.72,776.0049534998808,373.43,121.0,,,4851.0,IT*F2X*EF2XITA3651,A1 - Autostrada del Sole,44.456182,11.2795,0.0,44.456182,11.2795,6.0,3.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,no
IT*F2X*EF2XITA3701,A1 var. - Variante di Valico,57029.702,38779.952024849525,14257.4255,1719.0,,,358.0,IT*F2X*EF2XITA3701,A1 var. - Variante di Valico,44.15106,11.19363,0.0,44.15106,11.19363,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA3702,A1 var. - Variante di Valico,43427.111,29530.49977571345,10856.77775,1285.0,,,362.0,IT*F2X*EF2XITA3702,A1 var. - Variante di Valico,44.151067,11.193595,0.0,44.151067,11.193595,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
