Tratta,Strada,Km,Comune,Pr,Consistenza gg,Leggeri,Pesanti
411011,SS77DIR,102.415,Recanati,MC,240.0,12801,372
50053,SS9,102.782,San Lazzaro di Savena,BO,160.0,12763,249
412015,SS4,51.045,Poggio Nativo,RI,360.0,12691,378
16014,SS7,641.43,Taranto,TA,358.0,12610,783
508038,SS16,84.467,Ferrara,FE,358.0,12589,995
503051,SS629,0.962,Vergiate,VA,341.0,12551,811
363,SS25,25.868,Sant'Ambrogio di Torino,TO,346.0,12454,101
231,SS16,31.401,Stanghella,PD,334.0,12425,808
16010,SS7,677.55,Francavilla Fontana,BR,360.0,12294,1072
3116,SS113,241.683,Santa Flavia,PA,360.0,12268,120
50063,SS9,231.351,Alseno,PC,359.0,12264,1093
19010,SS113,307.458,Partinico,PA,360.0,12261,175
50038,SS63,104.456,Reggio nell'Emilia,RE,359.0,12258,215
18006,SS18,279.112,Belvedere Marittimo,CS,360.0,12202,222
412041,SS6,132.891,Villa Santa Lucia,FR,360.0,12183,166
412008,SS2,47.2,Sutri,VT,360.0,12131,253
508057,SS64VAR,7.273,Sasso Marconi,BO,360.0,12126,510
901002_NEW,A2,135.314,Rivello,PZ,360.0,12073,2201
412032,SS6,24.485,San Cesareo,RM,349.0,12070,222
503066,SS36RACC,6.328,Lecco,LC,308.0,12063,233
1893_NEW,A2,214.523,Altomonte,CS,352.0,12045,1866
409160,SS439,67.457,Ponsacco,PI,356.0,11964,99
50042,SS64,77.871,Sasso Marconi,BO,347.0,11945,127
481,SS50,15.863,Sedico,BL,285.0,11939,272
19106,SS106VAR-A,12.963,Catanzaro,CZ,345.0,11777,468
320002,S131DIR-CENT,108.776,Posada,NU,341.0,11720,409
19031,SS115,110.426,Sciacca,AG,361.0,11682,503
503,SS53,14.538,Carmignano di Brenta,PD,348.0,11652,2556
3219,SS189,56.022,Aragona,AG,360.0,11612,407
18004,A2,178.875,Morano Calabro,CS,207.0,11528,2088
19081,SS113,203.939,Campofelice di Roccella,PA,360.0,11501,152
240,SS16,243.197,Pesaro,PU,338.0,11303,94
505070,SS14VAR-B,1.553,San Donà di Piave,VE,360.0,11240,381
409156,SS439,7.783,Massarosa,LU,360.0,11229,139
307010,SS1,691.026,Ventimiglia,IM,360.0,11176,20
514100,SS710,4.096,Campobasso,CB,360.0,11105,514
2146,SS87,215.591,Termoli,CB,360.0,11095,630
2141,SS87,126.748,Vinchiaturo,CB,235.0,11086,531
3004,SS107,35.153,Cosenza,CS,360.0,11077,171
740,SS106RADD,26.228,Cassano all'Ionio,CS,237.0,11048,1010
780,SS113,20.6,Villafranca Tirrena,ME,360.0,11028,222
3209,SS113,97.973,Naso,ME,284.0,10990,110
154,SS9,291.177,San Martino in Strada,LO,337.0,10985,420
10040,NSA215,56.5,Ospitale di Cadore,BL,357.0,10966,403
3385,SS18,297.44,Cetraro,CS,359.0,10950,218
241,SS16,260.271,Fano,PU,360.0,10910,154
307009,SS1,658.623,Cipressa,IM,284.0,10779,133
796,SS113,311.009,Partinico,PA,360.0,10751,179
489,SS51,33.616,Ponte nelle Alpi,BL,360.0,10734,356
239,SS16,229.032,Pesaro,PU,360.0,10732,130
409016,SS1,238.412,Piombino,LI,360.0,10728,1106
1391,SS340,47.378,Porlezza,CO,352.0,10642,46
3445,SS89,179.428,Manfredonia,FG,362.0,10638,472
10062,A19,92.112,Alimena,PA,360.0,10623,1403
409017,SS680,4.176,Monte San Savino,AR,360.0,10588,263
782,SS113,47.444,Barcellona Pozzo di Gotto,ME,360.0,10550,98
90003,SS1VAR-A,0.251,Riccò del Golfo di Spezia,SP,235.0,10531,161
308,SS18,284.232,Belvedere Marittimo,CS,286.0,10515,194
3022,SS1DIR,2.094,Ventimiglia,IM,343.0,10483,213
307008,SS1,642.831,Diano Marina,IM,363.0,10475,81
320007,SS125VAR,5.582,Quartu Sant'Elena,CA,360.0,10439,147
10063,A29,64.027,Calatafimi-Segesta,TP,360.0,10425,530
3121,SS417,69.511,Catania,CT,341.0,10389,506
2108,SS80,93.044,Mosciano Sant'Angelo,TE,360.0,10373,196
320003,S131DIR-CENT,44.109,Orani,NU,358.0,10368,464
18025,SS106,166.06,Soverato,CZ,359.0,10365,240
19135,SS115,316.256,Ragusa,RG,360.0,10338,646
1394,SS341,12.957,Turbigo,MI,337.0,10288,274
3415,SS36,106.464,Novate Mezzola,SO,363.0,10276,194
2004,A29DIR,25.152,Trapani,TP,360.0,10269,484
307004,SS1,551.556,Arenzano,GE,359.0,10264,120
312004,SS675,36.17,Orte,VT,359.0,10260,941
508035,SS67,209.521,Ravenna,RA,360.0,10223,591
412007,SS2,58.348,Capranica,VT,360.0,10219,255
411008,SS424,1.976,Mondolfo,PU,360.0,10189,367
50010,SS12,135.999,Pavullo nel Frignano,MO,360.0,10113,181
508033,SS3BIS,244.939,Ravenna,RA,357.0,10052,2497
726,SS106,236.162,Isola di Capo Rizzuto,KR,363.0,10025,338
16028,SS96,75.595,Altamura,BA,360.0,10008,426
20001,SS3,112.569,Spoleto,PG,297.0,9999,643
10019,SS318,35.64,Gualdo Tadino,PG,360.0,9980,1049
501031,SS589,20.564,Cumiana,TO,360.0,9978,186
727,SS106,264.521,Strongoli,KR,363.0,9966,428
409109,SS65,9.518,Vaglia,FI,350.0,9951,195
15008,SS7,251.235,Ceppaloni,BN,354.0,9948,388
518,SS62,13.392,Aulla,MS,350.0,9898,65
411013,SS78,5.641,Urbisaglia,MC,360.0,9800,161
410015,SS219,10.092,Gubbio,PG,268.0,9774,592
19103,SS114,57.543,Calatabiano,CT,360.0,9765,43
19026,SS187,6.204,Erice,TP,347.0,9745,66
112,SS18VAR,121.416,Lustra,SA,360.0,9714,232
508059,SS12VAR-A,5.796,Mirandola,MO,350.0,9653,546
18027,SS106,158.075,ant'Andrea Apostolo dello Ioni,CZ,360.0,9646,162
258,SS16,531.081,Petacciato,CB,360.0,9633,470
18020,SS106,327.158,Corigliano-Rossano,CS,168.0,9614,424
920051,SS150,18.564,Canzano,TE,358.0,9610,290
503052,SS45BIS,81.967,Gargnano,BS,360.0,9610,101
411021,SS571,9.578,Recanati,MC,360.0,9570,410
257,SS16,510.337,Vasto,CH,359.0,9544,346
482,SS50BIS-VAR,15.129,Seren del Grappa,BL,344.0,9525,629
920074,SS13,62.268,Cordignano,TV,330.0,9502,460
18014,A2,206.892,Saracena,CS,358.0,9495,2154
19056,SS122,37.709,Canicattì,AG,360.0,9471,319
405,SS34,39.255,Cannobio,VB,210.0,9469,83
505069,SS14VAR-A,3.108,Musile di Piave,VE,360.0,9457,340
10045,SS372,5.27,Pietravairano,CE,363.0,9442,1602
15025,SS19,83.807,Padula,SA,344.0,9410,215
3470,SS658,10.875,Potenza,PZ,196.0,9403,452
658,SS89,161.883,Monte Sant'Angelo,FG,360.0,9362,163
494,SS51BIS,9.119,Lozzo di Cadore,BL,360.0,9354,169
3006,SS534,17.516,Cassano all'Ionio,CS,360.0,9316,1159
725,SS106,216.209,Cutro,KR,363.0,9286,408
411004,SS3,244.753,Acqualagna,PU,360.0,9170,564
3216,SS115,133.53,Sciacca,AG,351.0,9105,505
920068,SS3,155.466,Foligno,PG,363.0,9095,452
