Tratta,Strada,Comune,Pr,Leggeri,Pesanti,Postazioni,Latitudine inizio,Latitudine fine,Longitudine inizio,Longitudine fine
412011,SS3,Civita Castellana,VT,3122,171,412011,42.272263,0.0,12.446454,0.0
1317,SS303,Mirabella Eclano,AV,3119,82,1317,41.039729,0.0,15.037128,0.0
517121,SS655,Montemilone,PZ,3113,730,517121,40.9904,0.0,15.8994,0.0
1301,SS293,Villaperuccio,SU,3099,44,1301,39.099963,0.0,8.68362,0.0
1065,SS196DIR,Samassi,SU,3016,59,1065,39.457315,0.0,8.915812,0.0
745,SS107,Casali del Manco,CS,3009,103,745,39.309155,0.0,16.574073,0.0
840,SS119,Partanna,TP,2989,73,840,37.756398,0.0,12.850932,0.0
10046,SS4,Posta,RI,2989,156,10046,42.509813,0.0,13.090047,0.0
20002,SS219,Gubbio,PG,2986,241,20002,43.340313,0.0,12.419825,0.0
501018,SS335,Oulx,TO,2979,40,501018,45.04359,0.0,6.777913,0.0
1286,SS288,Ramacca,CT,2973,59,1286,37.425657,0.0,14.71634,0.0
409006,SS2,Castiglione d'Orcia,SI,2966,127,409006,42.975389,0.0,11.706332,0.0
412002,SS2,San Lorenzo Nuovo,VT,2962,83,412002,42.662645,0.0,11.908646,0.0
1287,SS288,Aidone,EN,2961,46,1287,37.41541,0.0,14.42921,0.0
530,SS64,Pistoia,PT,2952,55,530,43.987308,0.0,10.911783,0.0
10023,SS4,Acquasanta Terme,AP,2939,185,10023,42.76319,0.0,13.35668,0.0
409013,SS439DIR,Lajatico,PI,2890,65,409013,43.4717,0.0,10.7692,0.0
513101,SS650,Schiavi di Abruzzo,CH,2877,744,513101,41.787143,0.0,14.526572,0.0
585,SS685,Norcia,PG,2873,127,585,42.791178,0.0,12.994033,0.0
689,SS96,Gravina in Puglia,BA,2853,260,689,40.809672,0.0,16.380768,0.0
411024,SS744,Urbino,PU,2837,222,411024,43.8112,0.0,12.6011,0.0
10044,SS598,Gallicchio,PZ,2832,221,10044,40.262077,0.0,16.143165,0.0
948,SS153,Ofena,AQ,2817,173,948,42.285915,0.0,13.739403,0.0
517132,SS653,Senise,PZ,2791,169,517132,40.1814,0.0,16.3732,0.0
10012,SS17VAR-A,Forlì del Sannio,IS,2762,52,10012,41.68832,0.0,14.19797,0.0
920029,SS13,Tarvisio,UD,2752,45,920029,46.531668,0.0,13.638577,0.0
19061,SS626DIR,Ravanusa,AG,2734,72,19061,37.230508,0.0,13.969567,0.0
680,SS93,Canosa di Puglia,BT,2697,498,680,41.171058,0.0,15.95887,0.0
348,SS21,Vinadio,CN,2686,449,348,44.307178,0.0,7.170727,0.0
19126,SS283VAR,San Marco Argentano,CS,2670,35,19126,39.601432,0.0,16.194577,0.0
920038,SS54,Tarvisio,UD,2662,47,920038,46.497332,0.0,13.70088,0.0
1054,SS192,Belpasso,CT,2661,104,1054,37.45243,0.0,14.874675,0.0
18011,SS283,San Marco Argentano,CS,2657,33,18011,39.564397,0.0,16.103273,0.0
410008,SS71,Città della Pieve,PG,2639,18,410008,42.9829,0.0,11.9829,0.0
487,SS51,Vittorio Veneto,TV,2626,66,487,46.051607,0.0,12.314997,0.0
317,SS18,Seminara,RC,2620,18,317,38.324393,0.0,15.840328,0.0
10043,SS389VAR,Villagrande Strisaili,NU,2619,76,10043,40.034448,0.0,9.375903,0.0
517126,SS743,Muro Lucano,PZ,2613,42,517126,40.717251,0.0,15.518547,0.0
3225,SS190,Sommatino,CL,2603,74,3225,37.326385,0.0,14.01703,0.0
1743,SS547,Ortacesus,SU,2598,36,1743,39.541585,0.0,9.079263,0.0
878,SS127,Bortigiadas,SS,2594,79,878,40.89247,0.0,9.06148,0.0
10016,SS448,Baschi,TR,2575,162,10016,42.734103,0.0,12.314632,0.0
920049,SS5QUATER,Sante Marie,AQ,2570,38,920049,42.121067,0.0,13.187748,0.0
136,SS7TER,San Pancrazio Salentino,BR,2548,135,136,40.411673,0.0,17.82001,0.0
1062,SS195,Giba,SU,2512,19,1062,39.06017,0.0,8.582435,0.0
1025,SS182,San Gregorio d'Ippona,VV,2497,2,1025,38.66097,0.0,16.09887,0.0
514096,SS751,Oratino,CB,2489,28,514096,41.605633,0.0,14.589962,0.0
1061,SS195,Teulada,SU,2453,62,1061,38.962372,0.0,8.761287,0.0
411015,SS256,Camerino,MC,2441,50,411015,43.114,0.0,13.0532,0.0
619,SS81,Loreto Aprutino,PE,2421,40,619,42.386838,0.0,13.976017,0.0
3461,SS660,Bisignano,CS,2412,37,3461,39.482782,0.0,16.292122,0.0
19102,SS283,Guardia Piemontese,CS,2366,38,19102,39.466473,0.0,15.987488,0.0
3535,SS94DIR,Vietri di Potenza,PZ,2356,323,3535,40.635038,0.0,15.56512,0.0
19087,SS120,Petralia Soprana,PA,2343,41,19087,37.818397,0.0,14.144297,0.0
3537,SS655,Irsina,MT,2324,464,3537,40.784537,0.0,16.300257,0.0
900004,SS126,Guspini,SU,2298,89,900004,39.59835,0.0,8.662477,0.0
19089,SS117,Mistretta,ME,2291,10,19089,37.941068,0.0,14.353767,0.0
2282,SS7,Venticano,AV,2242,101,2282,41.079322,0.0,14.930472,0.0
842,SS120,Geraci Siculo,PA,2217,37,842,37.807083,0.0,14.155055,0.0
409112,SS65,Barberino di Mugello,FI,2216,82,409112,44.07684,0.0,11.28093,0.0
19086,SS120,Petralia Sottana,PA,2206,34,19086,37.790307,0.0,14.063187,0.0
3551,SS17,Antrodoco,RI,2191,72,3551,42.41153,0.0,13.089588,0.0
3001,SS616,Altilia,CS,2174,72,3001,39.100443,0.0,16.248803,0.0
2123,SS17,Scoppito,AQ,2167,86,2123,42.35268,0.0,13.200613,0.0
830,SS117,Reitano,ME,2161,20,830,38.007167,0.0,14.333333,0.0
1255,SS7,Laterza,TA,2137,155,1255,40.656593,0.0,16.782343,0.0
790,SS113,Termini Imerese,PA,2132,26,790,37.948812,0.0,13.775757,0.0
2291,SS7DIR-C,Pescopagano,PZ,2132,482,2291,40.868428,0.0,15.385328,0.0
412055,SS578,Borgorose,RI,2123,262,412055,42.2074,0.0,13.2067,0.0
517122,SS655,Genzano di Lucania,PZ,2079,566,517122,40.877131,0.0,16.170417,0.0
854,SS122,Caltanissetta,CL,2063,16,854,37.470037,0.0,13.9484,0.0
1059,SS194,Giarratana,RG,2063,21,1059,37.040837,0.0,14.794982,0.0
1107,SS212,Riccia,CB,2047,34,1107,41.48751,0.0,14.83998,0.0
19042,SS121,Roccapalumba,PA,2035,65,19042,37.78656,0.0,13.62318,0.0
10072,SS26DIR,Courmayeur,AO,2032,201,10072,45.813927,0.0,6.95816,0.0
19022,SS188DIR-A,Salemi,TP,2018,21,19022,37.853983,0.0,12.806968,0.0
849,SS121,Enna,EN,2009,33,849,37.601355,0.0,14.330615,0.0
409161,SS439,Volterra,PI,2003,105,409161,43.37049,0.0,10.80499,0.0
548,SS67,San Godenzo,FI,1984,23,548,43.913808,0.0,11.561938,0.0
412057,SS4,Cittareale,RI,1982,141,412057,42.579215,0.0,13.156915,0.0
15022,SS166,Castel San Lorenzo,SA,1979,33,15022,40.425878,0.0,15.224862,0.0
50009,SS12,Fiumalbo,MO,1977,15,50009,44.164042,0.0,10.64301,0.0
412003,SS2,Proceno,VT,1977,101,412003,42.780173,0.0,11.836077,0.0
2106,SS17,Roccacasale,AQ,1963,81,2106,42.117738,0.0,13.876752,0.0
410011,SS320,Cascia,PG,1948,84,410011,42.76497,0.0,13.003294,0.0
18012,SS283,Guardia Piemontese,CS,1947,23,18012,39.476053,0.0,16.006843,0.0
860,SS124,Grammichele,CT,1895,14,860,37.219577,0.0,14.604102,0.0
411023,SS78,Roccafluvione,AP,1847,56,411023,42.8762,0.0,13.4391,0.0
2112,SS81,Casoli,CH,1845,63,2112,42.159123,0.0,14.248515,0.0
1300,SS293,Siliqua,SU,1844,35,1300,39.19116,0.0,8.76974,0.0
517130,SS742,Senise,PZ,1824,34,517130,40.1204,0.0,16.3097,0.0
15016,SS303,Sturno,AV,1799,64,15016,40.982887,0.0,15.153752,0.0
15030,SS18,Santa Marina,SA,1775,4,15030,40.082748,0.0,15.497975,0.0
19017,SS113,Trapani,TP,1764,44,19017,37.937453,0.0,12.713542,0.0
409002,SS439,Pomarance,PI,1759,95,409002,43.320591,0.0,10.85157,0.0
1041,SS188,Castronovo di Sicilia,PA,1712,104,1041,37.697538,0.0,13.50729,0.0
1296,SS292,Sennariolo,OR,1686,26,1296,40.23248,0.0,8.536488,0.0
19095,SS116,Naso,ME,1635,77,19095,38.100747,0.0,14.786245,0.0
1586,SS442,Masullas,OR,1592,29,1586,39.712133,0.0,8.75689,0.0
797,SS113,Calatafimi-Segesta,TP,1580,23,797,37.940962,0.0,12.856698,0.0
412004,SS74,San Lorenzo Nuovo,VT,1538,93,412004,42.697184,0.0,11.927847,0.0
1386,SS337,Re,VB,1533,0,1386,46.138223,0.0,8.574462,0.0
1043,SS188DIR-A,Calatafimi-Segesta,TP,1497,42,1043,37.903167,0.0,12.832333,0.0
1585,SS442,Assolo,OR,1484,28,1585,39.809795,0.0,8.9029,0.0
1285,SS287,Noto,SR,1471,7,1285,36.94871,0.0,15.048233,0.0
50045,SS67,Portico e San Benedetto,FC,1471,15,50045,44.028056,0.0,11.785,0.0
839,SS119,Alcamo,TP,1464,64,839,37.928948,0.0,12.93216,0.0
324,SS19,Montesano sulla Marcellana,SA,1451,30,324,40.260173,0.0,15.668207,0.0
410013,SS209,Scheggino,PG,1444,58,410013,42.7049,0.0,12.8271,0.0
19118,SS117BIS,Caltagirone,CT,1426,64,19118,37.21849,0.0,14.37954,0.0
990,SS169,Acerenza,PZ,1422,56,990,40.756357,0.0,15.956717,0.0
410001,SS418,Acquasparta,TR,1421,29,410001,42.7194,0.0,12.6219,0.0
19084,SS121,Roccapalumba,PA,1391,32,19084,37.794707,0.0,13.648623,0.0
1023,SS182,Chiaravalle Centrale,CZ,1391,16,1023,38.665048,0.0,16.397797,0.0
19098,SS185,Rodì Milici,ME,1353,5,19098,38.116915,0.0,15.144523,0.0
19060,SS626DIR,Naro,AG,1353,54,19060,37.288842,0.0,13.970532,0.0
1052,SS191,Mazzarino,CL,1340,9,1052,37.273913,0.0,14.206877,0.0
515114,SS369,Molinara,BN,1338,15,515114,41.3198,0.0,14.9165,0.0
410009,SS71,Ficulle,TR,1331,13,410009,42.8273,0.0,12.0817,0.0
3018,SS481,Oriolo,CS,1329,6,3018,40.055465,0.0,16.451123,0.0
188,SS12,San Marcello Piteglio,PT,1324,50,188,44.03967,0.0,10.745212,0.0
1496,SS389DIR-A,Buddusò,SS,1299,33,1496,40.582567,0.0,9.228562,0.0
1256,SS272,San Giovanni Rotondo,FG,1288,32,1256,41.7078,0.0,15.809635,0.0
19052,SS118,Agrigento,AG,1278,5,19052,37.4241,0.0,13.506597,0.0
1486,SS385,Caltagirone,CT,1273,43,1486,37.228052,0.0,14.555998,0.0
1298,SS292DIR,Pozzomaggiore,SS,1242,52,1298,40.411713,0.0,8.685017,0.0
18026,SS182,Petrizzi,CZ,1238,41,18026,38.689942,0.0,16.458763,0.0
409009,SS65,Firenzuola,FI,1233,16,409009,44.141308,0.0,11.328299,0.0
874,SS126,Arbus,SU,1225,10,874,39.521218,0.0,8.583098,0.0
19051,SS118,Santo Stefano Quisquina,AG,1209,51,19051,37.646808,0.0,13.491125,0.0
409137,SS258,Sansepolcro,AR,1209,31,409137,43.60849,0.0,12.11026,0.0
19122,SS120,Cerami,EN,1202,10,19122,37.820092,0.0,14.528882,0.0
920037,SS54,Tarvisio,UD,1179,10,920037,46.419115,0.0,13.572257,0.0
514099,SS87VAR,Ripabottoni,CB,1149,31,514099,41.687954,0.0,14.850818,0.0
1050,SS190,Gela,CL,1144,87,1050,37.14774,0.0,14.301583,0.0
918,SS133,Luogosanto,SS,1139,12,918,41.090105,0.0,9.234118,0.0
3554,SS659,Premia,VB,1135,23,3554,46.309565,0.0,8.37728,0.0
18002,SS481,Amendolara,CS,1130,10,18002,39.960602,0.0,16.614503,0.0
1720,SS531,Calopezzati,CS,1126,14,1720,39.551822,0.0,16.7627,0.0
19082,SS120,Caltavuturo,PA,1123,34,19082,37.766413,0.0,13.952808,0.0
1108,SS212,Sant'Elia a Pianisi,CB,1120,22,1108,41.616776,0.0,14.879716,0.0
10049,SS113,Messina,ME,1117,7,10049,38.234397,0.0,15.472957,0.0
365,SS25,Giaglione,TO,1107,8,365,45.145453,0.0,7.017538,0.0
754,SS108BIS,San Giovanni in Fiore,CS,1077,21,754,39.249718,0.0,16.54538,0.0
920031,SS52BIS,Paluzza,UD,1040,11,920031,46.594873,0.0,12.95472,0.0
19093,SS120,Cerami,EN,1026,9,19093,37.808622,0.0,14.492038,0.0
831,SS117,Nicosia,EN,1022,37,831,37.7275,0.0,14.369205,0.0
366,SS25,Venaus,TO,1007,4,366,45.191783,0.0,6.985115,0.0
19091,SS121,Regalbuto,EN,1005,9,19091,37.653312,0.0,14.730455,0.0
10071,SS92,Sant'Arcangelo,PZ,976,27,10071,40.229182,0.0,16.294712,0.0
50035,SS63,Ventasso,RE,964,15,50035,44.332706,0.0,10.256469,0.0
19021,SS188,Salemi,TP,938,17,19021,37.80904,0.0,12.71955,0.0
578,SS73BIS,Borgo Pace,PU,928,57,578,43.639177,0.0,12.279583,0.0
861,SS124,Palazzolo Acreide,SR,911,7,861,37.10529,0.0,15.022383,0.0
888,SS128,Sorgono,NU,904,22,888,40.030752,0.0,9.114652,0.0
1290,SS290,Alimena,PA,885,52,1290,37.718428,0.0,14.108773,0.0
50030,SS45,Ottone,PC,876,2,50030,44.610944,0.0,9.318318,0.0
1106,SS212,Colle Sannita,BN,867,27,1106,41.406425,0.0,14.872512,0.0
858,SS123,Campobello di Licata,AG,856,60,858,37.252372,0.0,13.924592,0.0
1288,SS289,Acquedolci,ME,855,37,1288,38.045118,0.0,14.59645,0.0
19069,SS121,Santa Caterina Villarmosa,CL,852,28,19069,37.603037,0.0,14.130778,0.0
409220,SS258,Sestino,AR,847,27,409220,43.716667,0.0,12.195903,0.0
19058,SS190,Butera,CL,830,78,19058,37.258383,0.0,14.156657,0.0
19049,SS118,Prizzi,PA,821,23,19049,37.715227,0.0,13.449047,0.0
618,SS81,Penne,PE,811,7,618,42.497945,0.0,13.939725,0.0
865,SS125,Orosei,NU,808,7,865,40.348677,0.0,9.649643,0.0
855,SS122,Caltanissetta,CL,795,16,855,37.492842,0.0,14.132425,0.0
889,SS128,Sarule,NU,793,14,889,40.218293,0.0,9.165847,0.0
15001,SS91,Contursi Terme,SA,703,21,15001,40.639157,0.0,15.224347,0.0
882,SS127BIS,Sassari,SS,682,2,882,40.701173,0.0,8.516367,0.0
667,SS90BIS,Greci,AV,673,70,667,41.233248,0.0,15.140815,0.0
1494,SS389,Nuoro,NU,672,10,1494,40.381767,0.0,9.280023,0.0
893,SS129,Oliena,NU,670,15,893,40.332787,0.0,9.476275,0.0
19123,SS124,Palazzolo Acreide,SR,666,17,19123,37.071948,0.0,14.969128,0.0
19050,SS188,Prizzi,PA,666,11,19050,37.701355,0.0,13.396688,0.0
19044,SS121,Vallelunga Pratameno,CL,659,12,19044,37.712298,0.0,13.782348,0.0
513075,SS84,Palena,CH,650,3,513075,41.921668,0.0,14.108675,0.0
1071,SS198,Lanusei,NU,636,26,1071,39.88155,0.0,9.509958,0.0
1497,SS389DIR-B,Fonni,NU,631,9,1497,40.118468,0.0,9.234452,0.0
2202,SS21,Argentera,CN,624,64,2202,44.402168,0.0,6.925215,0.0
1303,SS295,Tonara,NU,589,11,1303,40.005457,0.0,9.19097,0.0
848,SS121,Santa Caterina Villarmosa,CL,586,18,848,37.593245,0.0,14.019617,0.0
920076,SS52,Lorenzago di Cadore,BL,578,12,920076,46.454125,0.0,12.513482,0.0
1070,SS198,Villanova Tulo,SU,571,7,1070,39.760267,0.0,9.211973,0.0
1022,SS182,Francica,VV,560,2,1022,38.63498,0.0,16.147045,0.0
327,SS19,Lagonegro,PZ,503,15,327,40.171793,0.0,15.716757,0.0
753,SS108BIS,Aprigliano,CS,495,8,753,39.239905,0.0,16.475637,0.0
3546,SS91,Campagna,SA,495,3,3546,40.646272,0.0,15.168133,0.0
890,SS128BIS,Anela,SS,473,8,890,40.43437,0.0,9.044995,0.0
307002,SS1,Deiva Marina,SP,470,2,307002,44.25401,0.0,9.553588,0.0
891,SS128BIS,Ozieri,SS,464,20,891,40.576395,0.0,8.979803,0.0
1281,SS285,Caccamo,PA,454,24,1281,37.856907,0.0,13.64061,0.0
18019,SS177,Longobucco,CS,449,0,18019,39.44361,0.0,16.613495,0.0
662,SS89DIR-B,Monte Sant'Angelo,FG,438,8,662,41.70168,0.0,15.99665,0.0
3049,SS481,San Paolo Albanese,PZ,436,6,3049,40.048878,0.0,16.342363,0.0
3462,SS660,Acri,CS,419,3,3462,39.46841,0.0,16.451207,0.0
1283,SS286,Geraci Siculo,PA,416,27,1283,37.879545,0.0,14.155285,0.0
517125,SS743,Pescopagano,PZ,416,12,517125,40.867501,0.0,15.440733,0.0
1294,SS292,Villanova Monteleone,SS,412,4,1294,40.502023,0.0,8.401852,0.0
10067,SS388,Fordongianus,OR,409,10,10067,40.000862,0.0,8.829647,0.0
16043,SS89,Vieste,FG,378,2,16043,41.850625,0.0,16.126083,0.0
27,SS1BIS,Vetralla,VT,364,14,27,42.296935,0.0,11.949235,0.0
409015,SS398,Monterotondo Marittimo,GR,350,35,409015,43.1239,0.0,10.7587,0.0
2110,SS81,Montefino,TE,320,5,2110,42.555213,0.0,13.895862,0.0
19028,SS188,Montevago,AG,281,0,19028,37.709467,0.0,12.951657,0.0
1024,SS182,Argusto,CZ,279,34,1024,38.688883,0.0,16.452025,0.0
752,SS108BIS,Parenti,CS,278,34,752,39.13431,0.0,16.42756,0.0
1526,SS410,Castrofilippo,AG,227,0,1526,37.33562,0.0,13.738947,0.0
1291,SS290,Villarosa,EN,220,0,1291,37.611397,0.0,14.211563,0.0
1053,SS192,Agira,EN,205,4,1053,37.564067,0.0,14.6488,0.0
1730,SS537,Orotelli,NU,203,0,1730,40.280038,0.0,9.09553,0.0
1021,SS182,Soriano Calabro,VV,187,0,1021,38.607772,0.0,16.186143,0.0
411018,SS361,Fiuminata,MC,176,4,411018,43.127516,0.0,12.857124,0.0
887,SS128,Laconi,OR,152,0,887,39.873868,0.0,9.058533,0.0
1026,SS182,San Gregorio d'Ippona,VV,133,0,1026,38.636615,0.0,16.119888,0.0
879,SS127,Martis,SS,130,2,879,40.780985,0.0,8.81806,0.0
962,SS158,Alfedena,AQ,125,0,962,41.721258,0.0,14.033018,0.0
288,SS17,Rionero Sannitico,IS,87,1,288,41.698295,0.0,14.152417,0.0
1027,SS182,Torre di Ruggiero,CZ,76,0,1027,38.640547,0.0,16.34129,0.0
1500,SS392,Oschiri,SS,59,0,1500,40.75352,0.0,9.076628,0.0
