Tratta,Strada,Comune,Pr,Leggeri,Pesanti,Postazioni,Latitudine inizio,Latitudine fine,Longitudine inizio,Longitudine fine
1046,SS4,Roma,RM,26946,326,1046,42.030903,0.0,12.546997,0.0
277,SS16,Melpignano,LE,26941,502,277,40.137263,0.0,18.291465,0.0
50051,SS9,Rimini,RN,26259,518,50051,44.069748,0.0,12.507055,0.0
503061,SS9DIR,Lodi,LO,26093,1183,503061A - 503061D,45.299212,45.299201,9.524048,9.523949
503063,SS42,Zanica,BG,25894,1345,503063,45.6311,0.0,9.6982,0.0
19125,SS114,Priolo Gargallo,SR,25866,1063,19125,37.146778,0.0,15.167462,0.0
920026,RA13,Trieste,TS,25841,2465,920026,45.666973,0.0,13.825377,0.0
50020,SS16,Rimini,RN,25744,343,50020,44.027031,0.0,12.613772,0.0
1889_NEW,A2,Campagna,SA,25362,3384,1889D - 1889A,40.62737,40.6269,15.206017,15.2062
50002,SS722,Reggio nell'Emilia,RE,25046,2063,50002,44.704072,0.0,10.6683,0.0
412012,SS2,Campagnano di Roma,RM,24858,513,412012A - 412012D,42.117066,42.142949,12.36399,12.350858
310002,SS675,Terni,TR,24802,1374,310002D - 310002A,42.569263,42.569942,12.585847,12.603505
50017,SS16,Cesenatico,FC,24173,1156,50017,44.207404,0.0,12.385416,0.0
920022,RA13,Duino Aurisina,TS,24030,5192,920022 - 920023,45.748762,45.747998,13.681005,13.682675
15012,SS268RACC,Palma Campania,,23992,2072,15012A - 15012D,40.844862,40.843638,14.53783,14.535663
505056,SS16,Rovigo,RO,23952,741,505056A - 505056D,45.066435,45.066371,11.805646,11.805901
50018,SS16,Bellaria-Igea Marina,RN,23940,1384,50018,44.1525,0.0,12.441389,0.0
920025,RA13,Trieste,TS,23872,2729,920025,45.674975,0.0,13.818505,0.0
310001,SS675,Terni,TR,23654,2677,310001D - 310001A,42.560692,42.568845,12.543798,12.570933
720,SS106,Reggio di Calabria,RC,23404,391,720,38.025562,0.0,15.655013,0.0
920042,A0,San Dorligo della Valle,TS,23127,1189,920043 - 920042,45.597885,45.604727,13.80943,13.824638
404,SS34,Verbania,VB,23093,413,404,45.943613,0.0,8.499372,0.0
15029,SS700,Caserta,CE,23021,574,15029,41.057528,0.0,14.360803,0.0
412036,SS214,Veroli,FR,22638,621,412036,41.667659,0.0,13.432394,0.0
230,SS16,Due Carrare,PD,22573,170,230,45.296247,0.0,11.790098,0.0
501024,SS703,Novara,NO,22260,1173,501024A - 501024D,45.424365,45.42422,8.609156,8.609031
852,SS121,Misilmeri,PA,22154,456,852,38.053722,0.0,13.46199,0.0
50066,SS9,Cesena,FC,22143,1234,50066,44.115833,0.0,12.303889,0.0
19112,A CT-SR,Augusta,SR,22118,1102,19112,37.247433,0.0,15.148786,0.0
19108,A1,Carlentini,SR,22118,1405,19108,37.343985,0.0,15.042139,0.0
508034,SS16,Ravenna,RA,22049,1108,508034,44.361526,0.0,12.254385,0.0
412040,SS630,Cassino,FR,21613,966,412040,41.4653,0.0,13.806,0.0
312003,SS675,Vitorchiano,VT,21526,1017,312003D - 312003A,42.455497,42.456732,12.156813,12.16413
2356,SS7VAR,Minturno,LT,21347,891,2356,41.261365,0.0,13.696255,0.0
15021,SS18,Capaccio Paestum,SA,21302,319,15021,40.431778,0.0,15.018288,0.0
412014,SS4DIR,Fiano Romano,RM,21186,1141,412014A - 412014D,42.146395,42.147331,12.618067,12.61959
16,SS1,Vecchiano,PI,21156,505,16,43.797128,0.0,10.314785,0.0
14,SS1,Livorno,LI,21149,368,14,43.516617,0.0,10.332178,0.0
15013,SS268,Terzigno,,21104,1445,15013,40.798727,0.0,14.51708,0.0
16011,SS7TER,Taranto,TA,21079,510,16011,40.460372,0.0,17.338722,0.0
513135,SS714,Francavilla al Mare,CH,20995,558,513135,42.4076,0.0,14.299,0.0
1333,SS309,Chioggia,VE,20960,2717,1333,45.19221,0.0,12.275363,0.0
50049,SS72,Coriano,RN,20782,679,50049,43.988973,0.0,12.527173,0.0
2210,SS33,Castelletto sopra Ticino,NO,20746,329,2210,45.719848,0.0,8.61982,0.0
17,SS1,Sarzana,SP,20731,347,17,44.091888,0.0,9.994188,0.0
739,SS106RADD,Corigliano-Rossano,CS,20677,686,739,39.663985,0.0,16.512083,0.0
106,SS700,Casapulla,CE,20575,474,106,41.087872,0.0,14.293735,0.0
15014,SS145,Meta,,20535,263,15014,40.646333,0.0,14.41329,0.0
314,SS18,Vibo Valentia,VV,20401,404,314,38.67074,0.0,16.083148,0.0
50061,SS9,Fontanellato,PR,20359,1696,50061,44.838889,0.0,10.1575,0.0
421,SS38,Castione Andevenno,SO,20340,809,421,46.161827,0.0,9.811223,0.0
2454,SS679,Arezzo,AR,20171,949,2454,43.464918,0.0,11.839112,0.0
490,SS51,Longarone,BL,20050,587,490,46.243285,0.0,12.29606,0.0
10037,SS494,Vermezzo con Zelo,MI,20045,770,10037,45.402613,0.0,8.972778,0.0
1563_NEW,SS434,San Giovanni Lupatoto,VR,19765,2875,1563A - 1563D,45.383183,45.389118,11.03073,11.023567
10028,SS715,Asciano,SI,19712,1186,10028,43.30673,0.0,11.444915,0.0
409159,SS439,Calcinaia,PI,19704,617,409159,43.6803,0.0,10.63077,0.0
15020,SS18,Eboli,SA,19594,599,15020,40.546182,0.0,14.9896,0.0
3139,SS3BIS,San Gemini,TR,19494,2371,3139,42.624582,0.0,12.55142,0.0
1895_NEW,A2,Falerna,CZ,19460,2789,1895D - 1895A,38.9911,38.9884,16.1387,16.1399
50056,SS9,Modena,MO,19417,792,50056,44.622612,0.0,10.996519,0.0
3039,RA5,Potenza,PZ,19409,1062,3039,40.62868,0.0,15.81653,0.0
501043,SS10,Chieri,TO,19335,384,501043,44.998485,0.0,7.850754,0.0
16009,SS7,Latiano,BR,19303,955,16009A - 16009D,40.563593,40.564548,17.742318,17.756588
1897_NEW,A2,Palmi,RC,19300,2218,1897A - 1897D,38.354,38.3612,15.8679,15.8651
417,SS36,Abbadia Lariana,LC,19276,1486,417,45.902707,0.0,9.335747,0.0
50013,SS12,Modena,MO,19230,967,50013,44.700725,0.0,10.949525,0.0
50012,SS12,Modena,MO,19057,744,50012,44.595132,0.0,10.923605,0.0
411009,SS16,Falconara Marittima,AN,19014,515,411009,43.648839,0.0,13.347999,0.0
515118,SS372,Benevento,BN,19001,1602,515118A - 515118D,41.1415,41.1416,14.7931,14.7933
1894_NEW,A2,Montalto Uffugo,CS,18814,2975,1894A - 1894D,39.4339,39.4373,16.2408,16.2406
411001,SS746,Pesaro,PU,18743,307,411001,43.8676,0.0,12.8288,0.0
724,SS106,Stalettì,CZ,18652,306,724,38.766093,0.0,16.56401,0.0
18003,A2,Francavilla Angitola,VV,18587,2375,18003D - 18003A,38.782478,38.782392,16.218202,16.217772
19011,A29,Partinico,PA,18556,930,19011A - 19011D,38.031373,38.031535,13.017768,13.018412
50054,SS9,Anzola dell'Emilia,BO,18487,1133,50054,44.54771,0.0,11.205603,0.0
3210,SS624,Monreale,PA,18411,311,3210,38.067935,0.0,13.322285,0.0
2105,SS16,Alba Adriatica,TE,18371,412,2105,42.834005,0.0,13.914922,0.0
3150,SS318,Perugia,PG,18334,1192,3150,43.110568,0.0,12.501952,0.0
3065,SS99,Matera,MT,18154,884,3065,40.706497,0.0,16.582503,0.0
18024,SS280,Marcellinara,CZ,18098,904,18024A - 18024D,38.907202,38.910763,16.411278,16.425203
50034,SS62,Collecchio,PR,17988,670,50034,44.756844,0.0,10.233017,0.0
501025,SS703,Cameri,NO,17943,990,501025A - 501025D,45.477736,45.47807,8.646713,8.646872
